Kareem Abdul-Jabbar,1560,11.2,3.6,24.6,273.4,6
Elgin Baylor,846,13.5,4.3,27.4,104.2,0
Kobe Bryant,1346,5.2,4.7,25.0,172.7,5
Wilt Chamberlain,1045,22.9,4.4,30.1,247.3,2
Vlade Divac,1134,8.2,3.1,11.8,96.4,0
Gail Goodrich,1031,3.2,4.7,18.6,76.3,1
Magic Johnson,906,7.2,11.2,19.5,155.8,5
Slick Leonard,426,2.9,3.3,9.9,3.8,0
Clyde Lovellete,704,9.5,1.6,17.0,70.6,3
Karl Malone,1476,10.1,3.6,25.0,234.6,0
Slater Martin,745,3.4,4.2,9.8,47.5,5
Bob McAdoo,852,9.4,2.3,22.1,89.1,2
George Mikan,439,13.4,2.8,23.1,108.7,5
Vern Mikkelsen,699,9.4,2.2,14.4,83.4,4
Shaquille O'Neal,1207,10.9,2.5,23.7,181.7,4
Gary Payton,1335,3.9,6.7,16.3,145.5,1
Jim Pollard,438,7.8,3.2,13.2,34.9,5
Jerry West,932,5.8,6.7,27.0,162.6,1
Jamaal Wilkes,828,6.2,2.5,17.7,71.3,4
James Worthy,926,5.1,3.0,17.6,81.2,3
